feature,raw_importance,plot_importance
wetdry_status,0.8169033,0.8169033
Out-degree,0.040024105,0.040024105
elev_min_cm,0.036469717,0.036469717
aspect_ne_pct,0.010387275,0.010387275
vp,0.008558922,0.008558922
slp_mean_pct,0.008065669,0.008065669
rhmax,0.00765622,0.00765622
rhmin,0.0076326416,0.0076326416
aspect_se_pct,0.0073480923,0.0073480923
LengthKM,0.00555854,0.00555854
ws,0.005455166,0.005455166
elev_max_cm,0.005370515,0.005370515
tmax,0.0049894764,0.0049894764
TotDASqKm,0.004887496,0.004887496
etgrass,0.0047631366,0.0047631366
sph,0.0047342833,0.0047342833
aspect_nw_pct,0.0042947996,0.0042947996
AreaSqKm,0.0040357467,0.0040357467
srad,0.004016284,0.004016284
tmin,0.0035372684,0.0035372684
etalfalfa,0.0028066162,0.0028066162
ArbolateSu,0.002504661,0.002504661
prcp,0.0,0.0
aspect_sw_pct,0.0,0.0
elev_mean_cm,0.0,0.0
elev_median_cm,0.0,0.0
curv_mean,0.0,0.0
slp_median_pct,0.0,0.0
FromNode,0.0,0.0
ToNode,0.0,0.0
curv_median,0.0,0.0
Slope,0.0,0.0
In-degree,0.0,0.0
MaxDepth_cm,0.0,0.0
MaxDepth_Threshold,0.0,0.0
MaxDepth_Censor,0.0,0.0
