feature,f1_drop,sd
MaxDepth_cm,0.005690929679657364,0.0014555405765808952
MaxDepth_Threshold,0.0007626461518213112,0.0008457458496412392
MaxDepth_Censor,0.0036100362968720435,0.0017590988146988108
etalfalfa,8.464581420764006e-05,0.0009192307826265079
etgrass,0.00037715897107994947,0.0015085451314682504
prcp,0.007056537792266315,0.0015081875325316497
rhmax,0.0067699304831772885,0.0015309328217812373
rhmin,0.020766765058538406,0.002504313162355471
sph,-0.0009071773792122207,0.0008464303610978866
srad,0.00018280723381896012,0.0022752053509105283
tmax,-0.0012455682797655632,0.0007662189045250745
tmin,0.0025996539891798287,0.002212939156826803
vp,0.009473055196440794,0.0010437533836030793
ws,0.0030087921454347243,0.0035896640667953013
aspect_ne_pct,0.03207032993584047,0.0030040732639503333
aspect_sw_pct,-0.0031362543031439706,0.0014643867304165736
aspect_nw_pct,0.0021479029966539496,0.0012825819045401464
aspect_se_pct,0.005338918510519486,0.00276502629243947
elev_min_cm,0.0018437243875829123,0.0022933193101148833
elev_max_cm,0.005551205423649885,0.0025381166661460498
elev_median_cm,0.004058640314825635,0.0019720937001219516
elev_mean_cm,0.004331927397299551,0.0018071392554184973
slp_median_pct,-0.0016985759629394304,0.001280816004729313
slp_mean_pct,-0.00036311472543217873,0.0016091294848726324
curv_median,-0.002224717023910916,0.001858056398640225
curv_mean,-0.0018274542008941187,0.0019451529552059676
ArbolateSu,-0.0002726145134356983,0.0007515739019553117
AreaSqKm,0.0004650378972853364,0.0028530953688255256
TotDASqKm,-1.703190830149026e-07,0.0004546375738994823
Slope,0.006650283491296927,0.0009005761215013867
LengthKM,0.010924633415576413,0.0007035193769476974
In-degree,-0.00476765875405849,0.0015213586444014614
Out-degree,0.023777628803965657,0.0018781883221295165
wetdry_status,0.10542575880237692,0.008721312041583882
status_available,0.0002570114962679781,0.0003519274851103161
